timestamp,avg_update_ms,max_update_ms,fps_ms,players,zombies_loaded,zombies_simulated,loaded_cells,heap_used_mb,resend_buffer_bytes,recv_packets_total,sent_packets_total
2026-07-13_17-22-08,9.0,740.0,189.0,17.0,1301.0,0.0,152.0,14675.0,80375.0,65259,308551
2026-07-13_17-22-21,3.0,217.0,68.0,17.0,1296.0,0.0,149.0,15411.0,10645.0,67143,320044
2026-07-13_17-22-34,6.0,179.0,136.0,17.0,1334.0,0.0,153.0,16148.0,5532.0,68732,330517
2026-07-13_17-22-47,4.0,185.0,101.0,17.0,1207.0,0.0,150.0,16861.0,3124.0,70266,342194
2026-07-13_17-23-00,8.0,165.0,165.0,17.0,1179.0,0.0,153.0,17613.0,24624.0,71742,352427
2026-07-13_17-23-13,5.0,173.0,104.0,17.0,1004.0,0.0,150.0,18358.0,8048.0,73192,361068
2026-07-13_17-23-26,4.0,170.0,102.0,18.0,1039.0,0.0,161.0,19222.0,19673.0,74640,370035
2026-07-13_17-23-39,4.0,115.0,101.0,18.0,1046.0,0.0,164.0,19878.0,1022.0,75974,378218
2026-07-13_17-23-52,4.0,183.0,98.0,19.0,1046.0,0.0,164.0,20466.0,168.0,77408,388049
2026-07-13_17-24-05,5.0,112.0,108.0,19.0,1046.0,0.0,164.0,21002.0,7369.0,78769,396642
2026-07-13_17-24-18,4.0,107.0,103.0,19.0,1045.0,0.0,164.0,21560.0,20944.0,80178,405307
2026-07-13_17-24-31,4.0,236.0,98.0,19.0,1045.0,0.0,164.0,22152.0,4379.0,81561,414420
2026-07-13_17-24-44,2.0,220.0,45.0,19.0,1047.0,0.0,167.0,22781.0,23274.0,83002,422935
2026-07-13_17-24-58,5.0,109.0,104.0,19.0,997.0,0.0,163.0,23372.0,24599.0,84579,431886
2026-07-13_17-25-11,4.0,123.0,96.0,19.0,997.0,0.0,163.0,23915.0,297.0,85949,440445
2026-07-13_17-25-24,5.0,105.0,105.0,19.0,993.0,0.0,160.0,24517.0,38.0,87260,448559
2026-07-13_17-25-37,4.0,105.0,98.0,19.0,993.0,0.0,160.0,25056.0,224.0,88695,457515
2026-07-13_17-25-50,4.0,103.0,103.0,19.0,994.0,0.0,160.0,25597.0,51932.0,90051,466038
2026-07-13_17-26-03,5.0,121.0,116.0,19.0,993.0,0.0,160.0,26203.0,427811.0,91387,474302
